Academic Year,RCDT,District Name,District City,% of Kindergartners Rated on Required 14 Measures,"In
0
Developmental Areas","In
1
Developmental Area","In
2
Developmental Areas","In
All 3
Developmental Areas",Social and Emotional Development,Language and Literacy Development
,,Statewide,,0.909316,0.36942,0.169738,0.175341,0.285502,0.55988,0.471427
2019,01009262026,A-C Central CUSD 262,Ashland,0.964286,0,0.148148,0.259259,0.592593,0.925926,0.814815
2019,33048276026,Abingdon-Avon CUSD 276,Abingdon,1,0.346667,0.0933333,0.146667,0.413333,0.6,0.56
2019,19022004002,Addison SD 4,Addison,0.761518,0.690391,0.153025,0.131673,0.024911,0.245552,0.185053
2019,13014063002,Albers SD 63,Albers,1,0,0.0588235,0.176471,0.764706,1,0.941176
2019,44063019024,Alden Hebron SD 19,Hebron,1,0.047619,0,0.047619,0.904762,0.904762,0.952381
2019,20093017024,Allendale CCSD 17,Allendale,1,0,0,0,1,1,1
2019,07016126002,Alsip-Hazlgrn-Oaklwn SD 126,Alsip,0.986755,0.510067,0.228188,0.147651,0.114094,0.463087,0.241611
2019,03025010026,Altamont CUSD 10,Altamont,0.877551,0.604651,0.116279,0.209302,0.0697674,0.325581,0.302326
2019,41057011026,Alton CUSD 11,Alton,0.870886,0.406977,0.18314,0.215116,0.194767,0.52907,0.465116
2019,28037225026,AlWood CUSD 225,Woodhull,1,0.166667,0.125,0.0833333,0.625,0.833333,0.708333
2019,47052272026,Amboy CUSD 272,Amboy,0.983333,0.0677966,0.0677966,0.152542,0.711864,0.932203,0.847458
2019,30091037004,Anna CCSD 37,Anna,0.967742,0.233333,0.25,0.333333,0.183333,0.7,0.583333
2019,28037226026,Annawan CUSD 226,Annawan,0.95,0,0.0526316,0.0526316,0.894737,0.947368,0.894737
2019,34049034004,Antioch CCSD 34,Antioch,0.978814,0.645022,0.155844,0.112554,0.0865801,0.333333,0.212121
2019,34049102004,Aptakisic-Tripp CCSD 102,Buffalo Grove,0.978355,0.221239,0.181416,0.261062,0.336283,0.712389,0.606195
2019,07016145002,Arbor Park SD 145,Oak Forest,0.990291,0.5,0.254902,0.147059,0.0980392,0.5,0.245098
2019,11021306026,Arcola CUSD 306,Arcola,1,0.317073,0.219512,0.268293,0.195122,0.634146,0.487805
2019,39055001026,Argenta-Oreana CUSD 1,Argenta,1,0.186667,0.08,0.133333,0.6,0.773333,0.746667
2019,05016025002,Arlington Heights SD 25,Arlington Heights,0.910537,0.213974,0.170306,0.172489,0.443231,0.68559,0.606987
2019,11021305026,Arthur CUSD 305,Arthur,0.736111,0.54717,0.226415,0.188679,0.0377358,0.339623,0.339623
2019,13095015004,Ashley CCSD 15,Ashley,0.882353,0.333333,0.266667,0.4,0,0.533333,0.533333
2019,47052275026,Ashton-Franklin Center CUSD 275,Ashton,0.925,0.27027,0.216216,0.135135,0.378378,0.72973,0.405405
2019,26029001026,Astoria CUSD 1,Astoria,1,0.333333,0,0.166667,0.5,0.666667,0.583333
2019,51065213026,Athens CUSD 213,Athens,0.962963,0.282051,0.0897436,0.24359,0.384615,0.666667,0.602564
2019,07016125002,Atwood Heights SD 125,Alsip,0.973684,0.324324,0.189189,0.162162,0.324324,0.567568,0.459459
2019,51084010026,Auburn CUSD 10,Auburn,1,0.0666667,0.0933333,0.173333,0.666667,0.933333,0.813333
2019,31045131022,Aurora East USD 131,Aurora,0.952435,0.593341,0.161712,0.120095,0.124851,0.386445,0.246136
2019,31045129022,Aurora West USD 129,Aurora,0.973978,0.354962,0.226463,0.180662,0.237913,0.611959,0.418575
2019,13014021002,Aviston SD 21,Aviston,1,0.0487805,0.0243902,0.097561,0.829268,0.829268,0.926829
2019,05016037002,Avoca SD 37,Wilmette,0.980392,0.22,0.24,0.3,0.24,0.72,0.52
2019,51084005026,Ball Chatham CUSD 5,Chatham,0.954286,0.272455,0.179641,0.221557,0.326347,0.625749,0.526946
2019,34049106002,Bannockburn SD 106,Bannockburn,1,0.545455,0.0909091,0.181818,0.181818,0.363636,0.454545
2019,34049220026,Barrington CUSD 220,Barrington,0.923241,0.0484988,0.0877598,0.12933,0.734411,0.923788,0.856813
